measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,4.0,0.0,0.0,0.0,1.0,27.0,1.0,37.0,1.0,36.0,2479.0,1444.0,511.0,143.0,84.0,207.0,66.0,1.0,1.0,38.0,22.0,10.0,1.0,3.0,2.0,1.0,0.0,0.0,27.0,2.0,1.0,43.0,9.0,7.0,16.0,3.0,1.0,2.0,0.0,0.0
mean,55.41538461538462,9.445086705202312,1.2254335260115607,1.4335260115606936,1.1040462427745665,418.0346820809249,142.72832369942196,50.3121387283237,2.4739884393063583,206.70520231213874,43198.508670520234,32980.12138728324,16193.375722543353,2001.7052023121387,1536.4566473988439,6944.416184971098,8346.537572254336,2.3095238095238093,1.1666666666666667,51.005780346820806,32.445086705202314,16.890173410404625,1.8670520231213872,3.479768786127168,4.2601156069364166,3.5028901734104045,14.642857142857142,2.9523809523809526,42.55670103092783,5.298969072164948,4.092783505154639,43.0,9.0,7.0,22.962264150943398,3.6226415094339623,3.358490566037736,8.666666666666666,0.6190476190476191,0.8095238095238095
max,859.0,304.0,38.0,39.0,7.0,14239.0,5612.0,398.0,24.0,2491.0,1175164.0,938371.0,527812.0,48554.0,46413.0,232913.0,325491.0,10.0,2.0,398.0,301.0,232.0,12.0,33.0,50.0,80.0,229.0,74.0,301.0,50.0,80.0,43.0,9.0,7.0,85.0,12.0,18.0,50.0,4.0,8.0
min,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,48.0,16.0,8.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,43.0,9.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0
std,197.11781790242958,47.076183204862595,4.113370210811938,5.199779483882515,0.9404574827810882,2009.3790140354242,806.4663311042389,54.98673965458498,3.033852554994551,533.4292196313393,180004.00543074546,143108.2964926012,79603.71744579148,7581.608305616846,6993.718909952242,35105.4912207341,48971.55358453101,2.1009648798227323,0.408248290463863,54.63233316323264,40.151654974992134,27.83286008571791,2.2950176020652844,4.277563960316833,6.591615003824963,9.370676849704557,41.53037174169628,11.946940379724905,48.73823983625967,8.28925628506262,11.92518559798512,0.0,0.0,0.0,19.278288170245727,2.7611759973322654,4.649625045356807,12.53927164285603,1.2440333788202984,2.400396792595916
