measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,5.0,20.0,4.0,2.0,1.0,27.0,1.0,32.0,1.0,97.0,6228.0,3458.0,1027.0,350.0,241.0,475.0,190.0,1.0,,32.0,11.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,,,,21.5,5.5,6.5,10.0,0.0,0.0
mean,10.0,77.0,7.809523809523809,4.761904761904762,2.238095238095238,273.57142857142856,61.19047619047619,50.61904761904762,1.3333333333333333,551.047619047619,230953.47619047618,183800.7142857143,102446.76190476191,9698.952380952382,9155.619047619048,45242.142857142855,62589.76190476191,1.2,,50.95238095238095,34.04761904761905,11.19047619047619,2.238095238095238,2.1904761904761907,5.285714285714286,1.9523809523809523,0.0,2.4,38.5,5.5,1.0625,,,,22.25,5.75,6.0,10.0,0.0,0.0
max,47.0,304.0,38.0,39.0,7.0,1567.0,467.0,191.0,3.0,2491.0,1175164.0,938371.0,527812.0,48554.0,46413.0,232913.0,325491.0,2.0,,191.0,173.0,33.0,8.0,7.0,22.0,11.0,0.0,10.0,173.0,22.0,9.0,,,,35.0,10.0,11.0,10.0,0.0,0.0
min,2.0,3.0,0.0,0.0,0.0,7.0,0.0,11.0,1.0,16.0,681.0,521.0,149.0,31.0,44.0,42.0,19.0,1.0,,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,11.0,2.0,0.0,10.0,0.0,0.0
std,12.54325848148452,116.63704385828716,9.437261507551051,9.332227825684294,2.022492568707285,392.3872540524948,112.0850654849338,42.63387877085099,0.6582805886043832,966.7781273999984,469447.93317157327,375166.6399095397,211461.13442354006,19328.503869871023,18523.92849931189,93299.16713041211,130681.15161870315,0.44721359549995804,,42.41636027581361,41.24860748010312,11.977558380651073,3.015041656507616,1.8873009198071093,6.96521971758865,3.513917905645925,0.0,4.33589667773576,46.39109109875875,7.7631608682718065,2.2940139493908926,,,,9.912113800799505,3.5,5.354126134736337,,,
