measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,4,0,0,0,1,87,6,33.5,4.5,20,1623,1020,362.5,105,45.5,153,41,1,1,35,27,11.5,1,3,2,0.5,0,0,50,5,2,,,,14,2,0,3,0,0
mean,5.863636364,4.69047619,1.5,2.976190476,1.19047619,164.8333333,24.85714286,47.16666667,4.976190476,38.64285714,3765.547619,2803.166667,1145.97619,236.952381,168.4047619,472.9047619,320.2142857,2.30952381,1.166666667,48.26190476,33.45238095,20.5,1.595238095,3.285714286,3.714285714,2.833333333,14.64285714,2.952380952,56.26666667,6.266666667,4.2,,,,26.66666667,2.888888889,2.222222222,9,1.111111111,1.777777778
max,47,146,38,39,7,1567,467,162,12,332,51032,40562,16914,3542,1536,8180,5460,10,2,163,116,77,7,13,24,15,229,74,116,24,14,,,,85,10,15,27,4,8
min,2,0,0,0,0,2,0,1,2,2,60,16,8,2,3,2,0,1,1,4,1,1,0,0,0,0,0,0,27,2,0,,,,3,1,0,1,0,0
std,9.295649031,22.91818757,5.935630322,8.62353019,1.25402951,281.8878792,76.25489074,44.09574763,3.064255731,59.65871287,8386.692261,6730.325861,2793.523009,576.6981267,339.444026,1329.949876,942.0776348,2.10096488,0.40824829,43.5061305,32.07400161,21.08548223,1.593577411,2.540268032,4.468238668,4.224877927,41.53037174,11.94694038,32.99451614,5.933761354,4.246006527,,,,26.57730124,2.784175639,4.439866924,10.67707825,1.691481928,3.527668415
