measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,2.0,0.0,0.0,0.0,1.0,33.5,4.5,43.0,1.0,32.0,1762.0,610.5,398.0,82.0,12.0,110.5,137.5,1.0,1.0,44.0,36.0,11.5,2.0,0.0,4.5,2.0,1.0,0.0,46.0,8.0,3.0,36.0,8.0,5.0,19.0,4.0,3.0,61.0,0.0,0.0
mean,3.4285714285714284,72.62820512820512,10.807692307692308,2.8846153846153846,2.0384615384615383,1563.0,594.9487179487179,71.53846153846153,2.3846153846153846,259.7307692307692,63422.769230769234,2067.076923076923,873.9,238.1,50.92307692307692,370.25,303.8333333333333,2.869565217391304,3.6,72.51282051282051,56.43589743589744,18.17948717948718,3.4358974358974357,1.2564102564102564,7.435897435897436,5.935897435897436,54.78260869565217,3.3043478260869565,59.44827586206897,12.517241379310345,9.862068965517242,36.0,8.0,5.0,23.1,5.333333333333333,4.466666666666667,122.73333333333333,1.6666666666666667,1.5333333333333334
max,13.0,5006.0,678.0,54.0,32.0,113074.0,44828.0,970.0,39.0,4336.0,1219738.0,9973.0,3765.0,935.0,337.0,2011.0,1666.0,39.0,14.0,970.0,970.0,227.0,38.0,15.0,88.0,93.0,1197.0,24.0,480.0,88.0,93.0,36.0,8.0,5.0,53.0,17.0,24.0,970.0,9.0,11.0
min,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,79.0,12.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,8.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0
std,2.8470721989124383,566.6395383900302,77.06264237067691,8.68941850793216,3.8289475265194164,12791.992389721832,5073.661504502547,130.03942382313045,4.550526640653002,922.4022796667762,261275.45547935815,2710.9473102001293,1070.4928961361518,299.18899984310696,85.1325580935546,544.3825226675775,441.00567530329755,7.893059942564541,5.813776741499454,129.98608752625395,120.68705799449239,28.43892685690796,4.976802665222399,3.1060723828793257,11.073062837928836,11.976535222567334,249.03814175228425,7.492024745194632,85.876816348808,16.286762130320906,18.247747684755574,0.0,0.0,0.0,12.614578320613678,4.002872531788531,5.103976362860988,240.41941526859938,3.457221565416505,3.37779866326041
