measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,2.0,107.0,12.0,2.0,5.5,109.0,16.0,64.0,1.5,27.0,1157.5,799.5,356.5,61.0,19.0,153.0,136.0,1.5,7.5,65.0,55.5,13.5,5.0,0.5,7.5,6.5,6.5,0.0,55.5,13.0,14.0,,,,18.5,3.0,2.0,139.0,4.0,5.5
mean,4.8,699.625,101.875,8.375,8.625,168.0,46.375,145.0,6.25,36.25,2394.875,1876.25,631.125,151.5,29.5,270.25,171.875,10.75,7.5,145.875,115.375,40.875,8.0,2.25,16.875,17.125,302.5,0.25,152.0,30.25,30.5,,,,18.5,3.0,2.0,139.0,4.0,5.5
max,11.0,5006.0,678.0,42.0,32.0,481.0,199.0,645.0,39.0,93.0,7723.0,6362.0,2832.0,673.0,96.0,1058.0,604.0,39.0,14.0,646.0,480.0,227.0,38.0,15.0,88.0,93.0,1197.0,1.0,480.0,88.0,93.0,,,,19.0,3.0,2.0,196.0,8.0,11.0
min,2.0,15.0,0.0,0.0,2.0,3.0,0.0,28.0,1.0,3.0,239.0,226.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,28.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,,,,18.0,3.0,2.0,82.0,0.0,0.0
std,4.08656334834051,1741.0381908915317,233.99171993897562,14.24216576628308,10.013383900702955,173.95648060034193,67.61432117955063,208.87316725707015,13.253031998107344,33.384127965247195,2825.161812685628,2289.624033391883,926.5606814605137,220.71054088362627,34.47152033615161,345.53964006629235,194.43650267228264,18.83923211457056,9.192388155425117,208.9534722645895,158.64780174966182,75.77303987190017,12.328828005937952,5.175491695067657,29.117679950749608,31.224704047550922,596.3480527343072,0.5,219.41892959967393,38.60375629391523,42.11492213772532,,,,0.7071067811865476,0.0,0.0,80.61017305526642,5.656854249492381,7.7781745930520225
