measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,3.0,0.0,0.0,0.0,1.0,30.0,2.0,33.0,1.0,14.5,1167.0,730.5,551.0,42.0,20.0,121.0,132.0,2.0,1.0,33.0,22.0,18.0,1.0,0.0,4.0,3.0,1.0,0.0,30.0,5.0,7.0,17.5,5.0,1.0,13.0,3.0,2.0,6.0,0.0,0.0
mean,13661.990654205607,15.075757575757576,2.3075757575757576,1.759090909090909,1.6712121212121211,350.25454545454545,116.60909090909091,56.695454545454545,2.9606060606060605,234.45606060606062,48078.90303030303,31810.512121212123,19315.00606060606,1965.4545454545455,524.9318181818181,4488.253030303031,4472.828787878788,2.9794520547945207,1.3714285714285714,57.26060606060606,36.662121212121214,27.116666666666667,2.175757575757576,1.1924242424242424,6.048484848484849,7.184848484848485,20.554794520547944,3.4726027397260273,51.00892857142857,8.919642857142858,10.595238095238095,23.0625,5.03125,2.46875,22.173076923076923,4.762820512820513,5.756410256410256,21.03676470588235,0.6691176470588235,1.5073529411764706
max,2919294.0,5356.0,760.0,199.0,39.0,13220.0,5888.0,739.0,173.0,10989.0,3261247.0,2074828.0,1269281.0,134752.0,36808.0,308667.0,310759.0,25.0,3.0,739.0,377.0,330.0,36.0,81.0,99.0,151.0,738.0,77.0,377.0,99.0,151.0,68.0,13.0,13.0,313.0,73.0,127.0,344.0,12.0,39.0
min,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
std,199557.43850977358,211.72634660193796,30.139799763339866,9.378137448062803,2.4911537053069175,1417.607707868699,609.423025155319,76.93605119342745,8.075419884372339,978.7236754915892,281195.0603286694,180483.12303181004,110661.63194076614,11629.259622920687,3241.1391784993384,26666.446503158848,26776.688044297563,3.7296004742713933,0.6456057021813512,76.79959510592063,49.95779179059324,37.52494398857209,4.018472543142238,5.638659388396253,9.231506426507714,14.496059246030057,73.86623798993064,11.428455234242985,57.01905869418578,11.08270541316755,17.51050451304446,17.431779469803736,3.267477817877664,3.555861811967171,34.65072981804391,6.8099663013586955,12.001812656036746,40.278734043189644,1.9208607139386604,5.250744319059864
