measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,2,0,0,0,1,36,5,42,4.5,14,1800,1069.5,642.5,96.5,193.5,216.5,154,2,1,42.5,28,18.5,1,5,5,3,3.5,0,45,11,9,,,,23,3,3,12,3,0
mean,13,2.452380952,0.833333333,0.571428571,1.214285714,144.5238095,17.16666667,59.88095238,7.69047619,59,22100.42857,10256.09524,4216.452381,713.2142857,2073.357143,1525.357143,972.1190476,2.857142857,1.25,60.4047619,37.88095238,25.30952381,2.476190476,7.404761905,7.142857143,6,21,5.738095238,54.31578947,10.89473684,9.894736842,,,,26.66666667,3.944444444,3.555555556,15.8,4.4,0
max,35,24,11,7,3,1739,226,214,46,504,202093,67895,30442,9242,32314,11115,8402,10,3,214,125,107,12,26,41,41,287,126,125,41,41,,,,70,13,15,36,11,0
min,2,0,0,0,1,2,0,3,2,1,31,15,9,3,6,4,1,1,1,4,3,0,0,3,0,0,0,0,4,0,0,,,,9,0,0,3,1,0
std,17.04112672,5.478126709,2.428656827,1.6841131,0.470376823,394.2551012,47.98572789,53.86894774,9.121104167,110.8274862,41091.97124,18621.69293,7034.103327,1646.597934,5544.869445,2596.524646,1705.550997,2.170438065,0.621581561,53.59471194,31.74302488,27.21772028,3.101833409,5.674330406,7.668661055,8.551137423,50.93563609,21.32221963,38.69403145,9.648803822,10.86735548,,,,15.15411029,3.280463063,4.175872184,12.49799984,3.974921383,0
