measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,3.0,0.0,0.0,0.0,1.0,33.0,2.0,41.0,2.0,13.0,1860.0,858.0,596.0,58.0,166.0,178.0,174.0,2.0,1.0,41.0,24.0,19.0,1.0,4.0,5.0,2.0,3.5,0.0,52.0,12.0,7.0,68.5,45.5,14.0,22.0,4.0,3.0,7.0,2.0,0.0
mean,6.2,2.880794701986755,0.6688741721854304,0.4966887417218543,1.2582781456953642,89.49006622516556,11.198675496688741,66.65562913907284,3.7218543046357615,121.86092715231788,32739.403973509932,16215.913907284768,10199.602649006623,1219.1788079470198,3417.615894039735,2741.7880794701987,2420.9403973509934,2.857142857142857,1.25,67.24503311258277,46.443708609271525,30.08609271523179,2.7682119205298013,8.139072847682119,8.920529801324504,8.119205298013245,21.0,5.738095238095238,76.36065573770492,13.60655737704918,13.819672131147541,68.5,45.5,14.0,33.0,5.689655172413793,6.120689655172414,10.133333333333333,3.2,0.0
max,35.0,183.0,26.0,12.0,9.0,1739.0,246.0,905.0,46.0,4235.0,938987.0,549024.0,528420.0,53870.0,172040.0,115031.0,124242.0,10.0,3.0,905.0,780.0,286.0,71.0,158.0,71.0,76.0,287.0,126.0,780.0,68.0,76.0,77.0,71.0,28.0,308.0,49.0,76.0,36.0,16.0,0.0
min,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,31.0,15.0,9.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,20.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
std,9.064583093924766,15.758987764581784,2.820689878509949,1.8542713652013665,0.9964174236328897,237.68525035011234,35.12397469299276,99.68945423046618,6.234483609086215,448.2654725306586,117113.82747738365,66621.34040600309,51578.65465675757,5850.308917297835,17181.595836964978,12199.623842621419,11795.302245234068,2.1704380649371737,0.621581560508061,99.49941151500461,79.9762161113406,43.10544287323833,6.485310281561214,14.008587716159132,12.134536485479751,14.77562278543858,50.93563609488198,21.32221962981171,110.79380740620319,13.739576277460415,18.522516204808056,12.020815280171307,36.062445840513924,19.79898987322333,44.905749250953086,7.791598931804407,11.478549920959585,8.752273924562388,3.6990213057901755,0.0
