measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,2,0,0,0,1,63,7,43,3,12,707,422,208,49,15,68,35,1,1,44,33,17,3,0,5,2,1,0,39,6,2,,,,14.5,3.5,1,10.5,0,0
mean,5.333333333,113.2421053,8.810526316,5.252631579,2.315789474,159.5157895,33.92631579,79.71578947,6.084210526,40.65263158,20006.55789,16808.55789,9069.631579,1601.936842,1698.757895,4686.852632,11177.22105,3.168421053,1.4,80.66315789,61.62105263,25.06315789,5.115789474,1.410526316,9.136842105,6,18.09677419,3.516129032,59.13114754,12.54098361,7.672131148,,,,19.36363636,4.545454545,4.5,151.75,0.25,0.25
max,35,9614,709,240,52,695,206,1389,53,984,914818,768785,401211,72197,80142,224997,655051,47,2,1390,1389,318,66,25,174,171,318,184,644,174,171,,,,75,14,19,1389,2,3
min,2,0,0,0,0,2,0,1,1,1,34,17,12,2,0,3,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,,,,3,1,0,1,0,0
std,6.964194139,985.6961328,72.6624804,25.36330421,5.836902337,183.24927,55.94245564,165.1840149,9.049113226,124.3816851,121305.1666,103154.7427,55997.68222,9692.737901,11038.39416,29502.41309,76715.35218,6.33909288,0.516397779,165.116697,157.0015706,38.04387459,8.231831261,3.147084895,19.13035381,18.23954087,53.47247657,21.18634348,86.36636602,23.08070895,22.2962787,,,,17.26418107,3.875776699,6.246903995,396.1292546,0.621581561,0.866025404
