measure,contributor,star,fork,issues,watch,project_commits,number_of_bug_or_vulnerability_all_commit,first_loc,number_of_commits,project_files,project_lines,project_locs,project_statements,project_functions,project_code_smells,project_complexity_all,project_cognitive_complexity_all,number_of_all_change_commit,real_fixed_commit_number,code_lines,code_locs,code_statements,code_functions,code_code_smells,code_complexity_all,code_cognitive_complexity_all,final_loc_add,final_loc_minus,granularity_file_loc,granularity_file_cc,granularity_file_congc,granularity_class_loc,granularity_class_cc,granularity_class_congc,granularity_method_loc,granularity_method_cc,granularity_method_congc,granularity_statement_loc,granularity_statement_cc,granularity_statement_congc
median,2.0,131.0,4.0,6.0,13.0,417.0,53.0,9.0,1.0,77.0,707.0,290.0,130.0,51.0,10.0,54.0,5.0,1.0,1.5,10.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.5,1.0,0.0,,,,10.0,2.5,1.0,1389.0,0.0,0.0
mean,2.450381679389313,183.67625899280574,9.237410071942445,7.58273381294964,11.575539568345324,369.47482014388487,47.86330935251799,25.568345323741006,1.9496402877697843,79.56834532374101,14617.035971223022,12024.93525179856,6301.618705035971,1153.525179856115,1216.5179856115108,3491.3021582733813,9705.892086330936,2.55,1.5,26.546762589928058,20.014388489208635,6.597122302158273,1.1151079136690647,0.3237410071942446,2.41726618705036,2.179856115107914,14.05,0.15,9.873015873015873,2.4047619047619047,2.261904761904762,,,,12.416666666666666,2.75,1.5,1389.0,0.0,0.0
max,35.0,9614.0,709.0,240.0,52.0,536.0,113.0,1389.0,34.0,984.0,914818.0,768785.0,401211.0,72197.0,80142.0,224997.0,655051.0,22.0,2.0,1390.0,1389.0,180.0,20.0,14.0,83.0,141.0,206.0,2.0,234.0,83.0,141.0,,,,30.0,6.0,4.0,1389.0,0.0,0.0
min,2.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,2.0,76.0,32.0,20.0,5.0,2.0,7.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,3.0,1.0,0.0,1389.0,0.0,0.0
std,3.0133389108531707,806.5765210365056,59.82166525451607,20.058573388582563,5.268141075859883,125.00123656984022,17.74628005063291,120.86853862110532,4.01685532242122,116.50048518650676,109211.76655811896,91810.90041968104,47917.894615957666,8619.83209370326,9573.855760405571,26873.83255992274,78265.51731419963,4.684520983206848,0.7071067811865476,120.85206089885769,119.99607394613236,18.8359506034898,2.274875810245115,1.4101897669510552,7.612822212381336,12.320156571657746,46.127369429941645,0.4893604849295929,28.067343052589536,7.9801539548342735,12.931313047902641,,,,8.659816640231146,1.6583123951777,1.7320508075688772,,,
